roll,countEachPity,pityCount
1,39730,273
2,38309,320
3,36732,281
4,35375,272
5,34093,264
6,32858,314
7,31570,259
8,30470,276
9,29444,249
10,28358,262
11,28331,257
12,28127,232
13,27904,259
14,27646,232
15,27444,244
16,27276,278
17,27027,236
18,26826,215
19,26685,210
20,26510,235
21,26671,222
22,26560,233
23,26446,231
24,26315,214
25,26180,224
26,26150,218
27,26081,222
28,25963,206
29,25864,213
30,25753,212
31,26042,210
32,26034,210
33,25982,225
34,25910,224
35,25858,203
36,25889,226
37,25788,203
38,25750,238
39,25653,204
40,25615,228
41,25975,215
42,25974,210
43,25951,184
44,25972,217
45,25932,204
46,25981,216
47,25962,238
48,25894,219
49,25860,194
50,25833,205
51,26246,209
52,26287,182
53,26346,189
54,26371,223
55,26341,181
56,26474,186
57,26495,172
58,26518,184
59,26518,200
60,26495,178
61,26868,193
62,26914,185
63,26966,176
64,27023,197
65,27040,176
66,27207,178
67,27224,171
68,27256,188
69,27249,184
70,27248,198
71,27528,165
72,27584,185
73,27599,200
74,27612,1858
75,25902,3291
76,22814,4247
77,18665,4476
78,14269,4352
79,9946,3625
80,6341,2665
81,3707,1820
82,1896,1027
83,876,519
84,361,226
85,135,95
86,40,31
87,9,8
88,1,0
89,1,1
90,0,0
